No.,Time,Source,Destination,Protocol,Length,Info,Label
5439,71.79193834,10.244.0.19,10.244.0.10,TCP,74,52238  >  8000 [SYN] Seq=0 Win=64860 Len=0 MSS=1410 SACK_PERM=1 TSval=1741425793 TSecr=0 WS=128,0
5440,71.79203103,10.244.0.10,10.244.0.19,TCP,74,"8000  >  52238 [SYN, ACK] Seq=0 Ack=1 Win=64308 Len=0 MSS=1410 SACK_PERM=1 TSval=1260203822 TSecr=1741425793 WS=128",0
5441,71.79205544,10.244.0.19,10.244.0.10,TCP,66,52238  >  8000 [ACK] Seq=1 Ack=1 Win=64896 Len=0 TSval=1741425793 TSecr=1260203822,0
5442,71.79224962,10.244.0.19,10.244.0.10,TCP,130,"52238  >  8000 [PSH, ACK] Seq=1 Ack=1 Win=64896 Len=64 TSval=1741425793 TSecr=1260203822",0
5443,71.79227873,10.244.0.10,10.244.0.19,TCP,66,8000  >  52238 [ACK] Seq=1 Ack=65 Win=64256 Len=0 TSval=1260203822 TSecr=1741425793,0
5444,71.79536216,10.244.0.10,10.244.0.19,TCP,105,"8000  >  52238 [PSH, ACK] Seq=1 Ack=65 Win=64256 Len=39 TSval=1260203826 TSecr=1741425793",0
5445,71.79537962,10.244.0.19,10.244.0.10,TCP,66,52238  >  8000 [ACK] Seq=65 Ack=40 Win=64896 Len=0 TSval=1741425797 TSecr=1260203826,0
5446,71.79539686,10.244.0.10,10.244.0.19,TCP,88,"8000  >  52238 [PSH, ACK] Seq=40 Ack=65 Win=64256 Len=22 TSval=1260203826 TSecr=1741425797",0
5447,71.79540291,10.244.0.19,10.244.0.10,TCP,66,52238  >  8000 [ACK] Seq=65 Ack=62 Win=64896 Len=0 TSval=1741425797 TSecr=1260203826,0
5448,71.79948556,10.244.0.10,10.244.0.19,TCP,83,"8000  >  52238 [PSH, ACK] Seq=62 Ack=65 Win=64256 Len=17 TSval=1260203830 TSecr=1741425797",0
5449,71.7995022,10.244.0.19,10.244.0.10,TCP,66,52238  >  8000 [ACK] Seq=65 Ack=79 Win=64896 Len=0 TSval=1741425801 TSecr=1260203830,0
5457,71.87586823,10.244.0.19,10.244.0.10,TCP,75,"52238  >  8000 [PSH, ACK] Seq=65 Ack=79 Win=64896 Len=9 TSval=1741425877 TSecr=1260203830",0
5458,71.87607761,10.244.0.19,10.244.0.10,TCP,196,"52238  >  8000 [PSH, ACK] Seq=74 Ack=79 Win=64896 Len=130 TSval=1741425877 TSecr=1260203830",0
5459,71.87610347,10.244.0.19,10.244.0.10,TCP,79,"52238  >  8000 [PSH, ACK] Seq=204 Ack=79 Win=64896 Len=13 TSval=1741425877 TSecr=1260203830",0
5460,71.87614506,10.244.0.19,10.244.0.10,TCP,66,"52238  >  8000 [FIN, ACK] Seq=217 Ack=79 Win=64896 Len=0 TSval=1741425877 TSecr=1260203830",0
5461,71.87645166,10.244.0.19,10.244.0.2,DNS,105,Standard query 0x9584 AAAA nrf-nnrf.free5gc.svc.cluster.local OPT,0
5462,71.87657207,10.244.0.19,10.244.0.3,DNS,105,Standard query 0x8997 A nrf-nnrf.free5gc.svc.cluster.local OPT,0
5463,71.87927187,10.244.0.2,10.244.0.19,DNS,198,Standard query response 0x9584 AAAA nrf-nnrf.free5gc.svc.cluster.local SOA ns.dns.cluster.local OPT,0
5464,71.88116849,10.244.0.10,10.244.0.19,TCP,78,8000  >  52238 [ACK] Seq=79 Ack=218 Win=64128 Len=0 TSval=1260203911 TSecr=1741425877 SLE=217 SRE=218,0
5465,71.88420698,10.244.0.10,10.244.0.19,TCP,66,"8000  >  52238 [FIN, ACK] Seq=79 Ack=218 Win=64128 Len=0 TSval=1260203914 TSecr=1741425877",0
5466,71.88425347,10.244.0.19,10.244.0.10,TCP,66,52238  >  8000 [ACK] Seq=218 Ack=80 Win=64896 Len=0 TSval=1741425885 TSecr=1260203914,0
5467,71.8812668,10.244.0.3,10.244.0.19,DNS,155,Standard query response 0x8997 A nrf-nnrf.free5gc.svc.cluster.local A 10.110.246.0 OPT,0
5468,71.89117179,10.244.0.19,10.244.0.10,TCP,74,52250  >  8000 [SYN] Seq=0 Win=64860 Len=0 MSS=1410 SACK_PERM=1 TSval=1741425892 TSecr=0 WS=128,0
5469,71.89125535,10.244.0.10,10.244.0.19,TCP,74,"8000  >  52250 [SYN, ACK] Seq=0 Ack=1 Win=64308 Len=0 MSS=1410 SACK_PERM=1 TSval=1260203921 TSecr=1741425892 WS=128",0
5470,71.89127546,10.244.0.19,10.244.0.10,TCP,66,52250  >  8000 [ACK] Seq=1 Ack=1 Win=64896 Len=0 TSval=1741425892 TSecr=1260203921,0
5471,71.89138799,10.244.0.19,10.244.0.10,TCP,130,"52250  >  8000 [PSH, ACK] Seq=1 Ack=1 Win=64896 Len=64 TSval=1741425893 TSecr=1260203921",0
5472,71.89139911,10.244.0.10,10.244.0.19,TCP,66,8000  >  52250 [ACK] Seq=1 Ack=65 Win=64256 Len=0 TSval=1260203922 TSecr=1741425893,0
5473,71.89150063,10.244.0.19,10.244.0.10,TCP,193,"52250  >  8000 [PSH, ACK] Seq=65 Ack=1 Win=64896 Len=127 TSval=1741425893 TSecr=1260203922",0
5474,71.89150996,10.244.0.10,10.244.0.19,TCP,66,8000  >  52250 [ACK] Seq=1 Ack=192 Win=64256 Len=0 TSval=1260203922 TSecr=1741425893,0
5475,71.90041313,10.244.0.10,10.244.0.19,TCP,105,"8000  >  52250 [PSH, ACK] Seq=1 Ack=192 Win=64256 Len=39 TSval=1260203931 TSecr=1741425893",0
5476,71.90043718,10.244.0.19,10.244.0.10,TCP,66,52250  >  8000 [ACK] Seq=192 Ack=40 Win=64896 Len=0 TSval=1741425902 TSecr=1260203931,0
5477,71.90305409,10.244.0.10,10.244.0.19,TCP,88,"8000  >  52250 [PSH, ACK] Seq=40 Ack=192 Win=64256 Len=22 TSval=1260203933 TSecr=1741425902",0
5478,71.90306392,10.244.0.19,10.244.0.10,TCP,66,52250  >  8000 [ACK] Seq=192 Ack=62 Win=64896 Len=0 TSval=1741425904 TSecr=1260203933,0
5480,71.9767708,10.244.0.10,10.244.0.8,TCP,302,"38622  >  27017 [PSH, ACK] Seq=9592 Ack=41249 Win=502 Len=236 TSval=1426681459 TSecr=4121642050 [TCP segment of a reassembled PDU]",0
5481,71.97976053,10.244.0.19,10.244.0.10,TCP,75,"52250  >  8000 [PSH, ACK] Seq=192 Ack=62 Win=64896 Len=9 TSval=1741425981 TSecr=1260203933",0
5482,71.97978689,10.244.0.8,10.244.0.10,TCP,172,"27017  >  38622 [PSH, ACK] Seq=41249 Ack=9828 Win=501 Len=106 TSval=4121642442 TSecr=1426681459 [TCP segment of a reassembled PDU]",0
5483,71.9798423,10.244.0.10,10.244.0.8,TCP,66,38622  >  27017 [ACK] Seq=9828 Ack=41355 Win=502 Len=0 TSval=1426681462 TSecr=4121642442,0
5484,71.99140058,10.244.0.10,10.244.0.19,TCP,128,"8000  >  52250 [PSH, ACK] Seq=62 Ack=201 Win=64256 Len=62 TSval=1260204022 TSecr=1741425981",0
5495,71.99147272,10.244.0.19,10.244.0.10,TCP,66,52250  >  8000 [ACK] Seq=201 Ack=124 Win=64896 Len=0 TSval=1741425993 TSecr=1260204022,0
5496,71.99465682,10.244.0.10,10.244.0.19,TCP,116,"8000  >  52250 [PSH, ACK] Seq=124 Ack=201 Win=64256 Len=50 TSval=1260204025 TSecr=1741425993",0
